conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.65E+18,Fri Apr 14 09:29:03 +0000 2023,0,Meski kita disarankan untuk mengonsumsi asupan bergizi seimbang namun seringkali godaan makanan manis dan berlemak sulit ditolak. https://t.co/rmnnKY0tqb,1.65E+18,,,in,Jakarta,0,0,0,https://x.com/kompascom/status/1646807771990618112,23343960,kompascom
1.65E+18,Fri Apr 14 10:23:35 +0000 2023,0,@lalalandiann Yup. Kurangi makanan yang mengandung gula tinggi meski bukan yang manis.,1.65E+18,,lalalandiann,in,,0,0,0,https://x.com/BiLLYKHAERUDIN/status/1646821495547793408,49383672,BiLLYKHAERUDIN
1.74E+18,Fri Dec 29 09:40:10 +0000 2023,0,Bagaimana kalau teh dan makanan manis Nona?,1.74E+18,,,in,pfp: code_tesseract,0,0,0,https://x.com/SitiSenarai/status/1740669027155079624,7.67E+17,SitiSenarai
1.63E+18,Fri Feb 24 04:17:55 +0000 2023,0,@outer_cosmo Engga begitu. Tapi kadang butuh makanan manis.,1.63E+18,,outer_cosmo,in,S-IC. NSA. PG-21+,0,0,0,https://x.com/khittern/status/1628972467372048384,2.35E+09,khittern
1.63E+18,Fri Feb 17 00:17:53 +0000 2023,0,Makanan makin manis aktifitas kian menipis kesehatan jadi kritis.,1.63E+18,,,in,Ankh-Morpork,0,0,0,https://x.com/OtderA/status/1626375345451724801,1.62E+18,OtderA
1.78E+18,Fri Apr 05 13:01:28 +0000 2024,0,@kafirmasi Emang ngeri cuy diabetes aku yg penyuka makanan manis sudah mulai mengurangi dengan intermitteng fasting 18:6,1.78E+18,,kafirmasi,in,"Jakarta Capital Region, Indone",0,0,0,https://x.com/bustamigani/status/1776233697249010099,2575044704,bustamigani
1.78E+18,Fri Apr 05 22:21:52 +0000 2024,0,@kafirmasi takut banget sama diabetes sampai saat ini masih ngejaga gula darah tetap rendah (maksudnya dibawah batas normal) biar nyiapin 1 hari buat bisa cheating day sama makanan manis,1.78E+18,,kafirmasi,in,she/her. Selective,0,0,0,https://x.com/mayrenmarker/status/1776374726820319495,617891063,mayrenmarker
1.78E+18,Fri Apr 12 04:35:30 +0000 2024,0,@Fid0Dild0 Pacar gue obsessed dengan ponut padahal dia biasanya benci makanan manis,1.78E+18,,Fid0Dild0,in,Nomaden,0,1,0,https://x.com/midbangetdah/status/1778643078385143952,1.69E+18,midbangetdah
1.65E+18,Fri Apr 14 00:13:09 +0000 2023,2,Makanan di solo banyak yang rasanya aneh dan ga jarang rasanya hambar (kalo manis udh pada ngeh lah ya),1.65E+18,,,in,pelukan Kafka👁👄👁,0,2,0,https://x.com/uriversee/status/1646667874004787200,1.20E+18,uriversee
1.65E+18,Fri Apr 14 05:08:26 +0000 2023,0,@ghifarv Saking tak terkontrolnya konsumsi makanan dan minuman berpemanis sehingga asupan gula berlebih. Manis di awal derita di akhir https://t.co/OHoUa15EJj https://t.co/1fn4UkO818,1.65E+18,,ghifarv,in,,0,1,0,https://x.com/BiLLYKHAERUDIN/status/1646742185071759360,49383672,BiLLYKHAERUDIN
